Microorganism,Antibiotics,Year,Country,N,%R,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories
Enterococcus faecium,vancomycin,2012,Austria,376,3.2,,,,
Enterococcus faecium,vancomycin,2012,Iceland,12,0.0,,,,
Enterococcus faecium,vancomycin,2012,Croatia,60,0.0,,,,
Enterococcus faecium,vancomycin,2012,Hungary,142,3.5,,,,
Enterococcus faecium,vancomycin,2012,Slovakia,82,4.9,,,,
Enterococcus faecium,vancomycin,2012,Czech Republic,262,11.5,,,,
Enterococcus faecium,vancomycin,2012,Romania,34,2.9,,,,
Enterococcus faecium,vancomycin,2012,Latvia,18,5.6,,,,
Enterococcus faecium,vancomycin,2012,Poland,157,8.3,,,,
Enterococcus faecium,vancomycin,2012,Germany,647,16.2,,,,
Enterococcus faecium,vancomycin,2012,Greece,418,17.2,,,,
Enterococcus faecium,vancomycin,2012,Portugal,257,23.3,,,,
Enterococcus faecium,vancomycin,2012,Cyprus,29,10.3,,,,
Enterococcus faecium,vancomycin,2012,United Kingdom,362,13.3,,,,
Enterococcus faecium,vancomycin,2012,Ireland,386,44.0,,,,
Enterococcus faecium,vancomycin,2013,Estonia,40,0.0,,,,
Enterococcus faecium,vancomycin,2013,Lithuania,25,0.0,,,,
Enterococcus faecium,vancomycin,2013,Malta,10,0.0,,,,
Enterococcus faecium,vancomycin,2013,Sweden,575,0.0,,,,
Enterococcus faecium,vancomycin,2013,France,733,0.1,,,,
Enterococcus faecium,vancomycin,2013,Finland,302,0.3,,,,
Enterococcus faecium,vancomycin,2013,Netherlands,439,0.5,,,,
Enterococcus faecium,vancomycin,2013,Spain,553,0.9,,,,
Enterococcus faecium,vancomycin,2013,Slovenia,102,1.0,,,,
Enterococcus faecium,vancomycin,2013,Belgium,235,1.7,,,,
Enterococcus faecium,vancomycin,2013,Bulgaria,44,2.3,,,,
Enterococcus faecium,vancomycin,2013,Norway,211,2.4,,,,
Enterococcus faecium,vancomycin,2013,Denmark,644,3.4,,,,
Enterococcus faecium,vancomycin,2013,Italy,565,4.4,,,,
Enterococcus faecium,vancomycin,2013,Luxembourg,19,5.3,,,,
Enterococcus faecium,vancomycin,2013,Austria,437,5.9,,,,
Enterococcus faecium,vancomycin,2013,Iceland,17,5.9,,,,
Enterococcus faecium,vancomycin,2013,Croatia,74,6.8,,,,
Enterococcus faecium,vancomycin,2013,Hungary,210,7.1,,,,
Enterococcus faecium,vancomycin,2013,Slovakia,132,7.6,,,,
Enterococcus faecium,vancomycin,2013,Czech Republic,268,9.0,,,,
Enterococcus faecium,vancomycin,2013,Romania,54,11.1,,,,
Enterococcus faecium,vancomycin,2013,Latvia,25,12.0,,,,
Enterococcus faecium,vancomycin,2013,Poland,173,12.7,,,,
Enterococcus faecium,vancomycin,2013,Germany,826,14.5,,,,
Enterococcus faecium,vancomycin,2013,Greece,345,21.2,,,,
Enterococcus faecium,vancomycin,2013,Portugal,350,22.0,,,,
Enterococcus faecium,vancomycin,2013,Cyprus,30,23.3,,,,
Enterococcus faecium,vancomycin,2013,United Kingdom,442,23.3,,,,
Enterococcus faecium,vancomycin,2013,Ireland,398,42.7,,,,
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Denmark,35,,,51.4,,4.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Italy,79,,,58.2,,8.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,France,422,,,68.2,,47.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Estonia,21,,,71.4,,5.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Austria,47,,,83.0,,20.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Netherlands,25,,,84.0,,12.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Ireland,61,,,90.2,,18.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Czech Republic,606,,,93.6,,42.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Portugal,265,,,94.0,,21.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Latvia,48,,,95.8,,5.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Romania,56,,,98.2,,8.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Poland,236,,,99.2,,34.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Bulgaria,33,,,100.0,,8.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Finland,12,,,100.0,,9.0
Klebsiella pneumoniae,"3GCRKP, third-generation cephalosporins",2013,Hungary,47,,,100.0,,10.0
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Iceland,24,0.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Finland,368,1.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Sweden,364,0.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Norway,468,1.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Netherlands,638,3.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Denmark,557,5.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Austria,716,1.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,United Kingdom,701,3.6,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Germany,478,7.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Belgium,132,0.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Ireland,318,2.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Cyprus,67,19.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Estonia,63,15.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Spain,1161,4.7,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Slovenia,196,17.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Luxembourg,59,3.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Malta,57,5.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Portugal,567,19.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,France,1527,14.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Croatia,278,35.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Hungary,502,37.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Lithuania,80,32.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Bulgaria,126,43.7,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Czech Republic,1244,35.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Latvia,63,49.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Italy,685,26.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Romania,17,23.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Poland,209,23.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Greece,1668,57.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Iceland,24,0.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Finland,404,1.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Sweden,743,0.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Norway,374,0.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Netherlands,720,4.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Denmark,633,4.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Austria,785,4.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,United Kingdom,914,2.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Germany,518,6.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Belgium,587,4.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Ireland,303,3.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Cyprus,83,25.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Estonia,42,19.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Spain,1145,8.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Slovenia,232,19.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Luxembourg,48,27.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Malta,52,3.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Portugal,614,20.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,France,1647,19.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Croatia,292,30.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Hungary,417,46.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Lithuania,137,43.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Bulgaria,120,45.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Czech Republic,1283,36.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Latvia,63,33.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Italy,566,32.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Romania,10,30.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Poland,259,37.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Greece,1630,64.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Slovakia,465,62.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Iceland,14,0.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Finland,516,0.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Sweden,976,1.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Norway,593,1.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Netherlands,667,2.7,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Denmark,577,3.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Austria,828,4.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,United Kingdom,913,2.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Germany,663,6.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Belgium,477,8.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Ireland,326,3.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Cyprus,65,10.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Estonia,86,10.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Spain,1150,8.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Slovenia,254,17.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Luxembourg,50,20.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Malta,57,19.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Portugal,776,25.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,France,1097,19.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Croatia,331,30.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Hungary,485,37.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Lithuania,184,52.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Bulgaria,127,36.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Czech Republic,1399,41.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Latvia,78,42.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Italy,758,40.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Romania,97,42.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Poland,353,48.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Greece,1427,59.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Slovakia,376,55.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Iceland,28,0.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Finland,510,0.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Sweden,1235,1.7,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Norway,616,1.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Netherlands,631,2.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Denmark,519,3.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Austria,919,3.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,United Kingdom,1070,4.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Germany,742,6.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Belgium,555,7.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Ireland,316,7.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Cyprus,68,8.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Estonia,89,9.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Spain,1241,11.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Slovenia,245,15.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Luxembourg,53,17.0,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Malta,69,20.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Portugal,909,21.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,France,1916,22.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Croatia,373,29.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Hungary,551,32.1,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Lithuania,144,33.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Bulgaria,138,36.2,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Czech Republic,1291,38.3,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Latvia,88,39.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Italy,1403,41.8,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Romania,210,42.9,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Poland,366,52.5,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Greece,1166,55.4,,,,
Klebsiella pneumoniae,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Slovakia,487,57.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Iceland,27,3.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Finland,397,4.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Sweden,700,1.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Norway,479,2.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Netherlands,641,7.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Austria,720,12.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Denmark,559,10.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,United Kingdom,743,9.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Belgium,143,12.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Germany,478,12.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Ireland,318,8.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Spain,1161,10.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Estonia,81,17.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Malta,57,12.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,France,1542,17.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Slovenia,196,22.4,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Cyprus,67,34.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Luxembourg,59,5.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Portugal,580,28.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Hungary,512,45.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Lithuania,81,50.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Croatia,281,55.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Czech Republic,1263,48.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Italy,701,46.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Poland,232,39.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Latvia,64,54.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Romania,17,70.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Bulgaria,127,75.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2010,Greece,1686,74.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Iceland,26,7.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Finland,404,2.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Sweden,934,2.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Norway,421,2.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Netherlands,720,8.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Austria,795,13.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Denmark,637,11.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,United Kingdom,935,5.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Belgium,668,13.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Germany,519,12.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Ireland,304,7.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Spain,1145,13.4,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Estonia,43,39.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Malta,52,13.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,France,1654,25.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Slovenia,232,30.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Cyprus,83,41.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Luxembourg,48,35.4,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Portugal,616,35.4,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Hungary,431,53.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Lithuania,137,60.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Croatia,299,48.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Czech Republic,1287,48.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Italy,627,45.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Poland,278,59.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Latvia,65,38.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Slovakia,466,68.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Romania,25,44.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Bulgaria,121,81.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2011,Greece,1665,75.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Iceland,14,21.4,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Finland,536,1.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Sweden,976,2.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Norway,621,3.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Netherlands,683,6.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Austria,859,11.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Denmark,621,10.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,United Kingdom,931,11.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Belgium,540,16.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Germany,664,13.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Ireland,326,9.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Spain,1153,16.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Estonia,90,17.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Malta,57,26.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,France,1711,22.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Slovenia,254,28.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Cyprus,65,23.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Luxembourg,50,34.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Portugal,781,38.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Hungary,500,43.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Lithuania,186,64.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Croatia,332,52.1,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Czech Republic,1399,51.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Italy,852,47.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Poland,362,60.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Latvia,78,62.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Slovakia,378,62.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Romania,102,60.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Bulgaria,127,74.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2012,Greece,1459,70.9,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Iceland,30,0.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Finland,546,2.2,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Sweden,1300,3.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Norway,645,4.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Netherlands,644,7.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Austria,941,10.7,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Denmark,529,11.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,United Kingdom,1077,13.6,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Belgium,594,15.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Germany,746,16.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Ireland,316,19.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Spain,1241,19.8,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Estonia,90,23.3,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Malta,69,27.5,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,France,1938,28.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Slovenia,245,29.0,,,,
Klebsiella pneumoniae,third-generation cephalosporins,2013,Cyprus,68,30.9,,,,
